,subject_id,subject_id_ph1_df1,z_no_trust_df1,z_trust_df1,z_no_answer_df1,z_total_people_df1,Invalid_Domain_or_Sender_df1,Potent_Mal_Links_df1,Spelling_or_Grammar_df1,Appeal_to_Greed_df1,Appeal_to_Urgency_df1,Appeal_to_Authority_df1,Other_Phishy_Findings_df1,VeryTrustworthy_df1,Trustworthy_df1,Neither_Trust_df1,Untrustworthy_df1,VeryUntrustworthy_df1,VeryAppealing_df1,Appealing_df1,NeitherAppealing_df1,UnAppealing_df1,VeryUnAppealing_df1,malicious_df1,SensitivityRate_df1,VictimizationRate_df1,FalsePositiveRate_df1,SpecificityRate_df1,url_df1,if_malicious,malicious_guess,Present_Cue_Types_Guess,Website_Description,TrustWorthiness_Rating,Visual_Attractiveness_Rating,Comments,AISensitivityRate_df1,AIVictimizationRate_df1,AIFalsePositiveRate_df1,AISpecificityRate_df1,subject_id_ph1_df2,z_no_trust_df2,z_trust_df2,z_no_answer_df2,z_total_people_df2,Invalid_Domain_or_Sender_df2,Potent_Mal_Links_df2,Spelling_or_Grammar_df2,Appeal_to_Greed_df2,Appeal_to_Urgency_df2,Appeal_to_Authority_df2,Other_Phishy_Findings_df2,VeryTrustworthy_df2,Trustworthy_df2,Neither_Trust_df2,Untrustworthy_df2,VeryUntrustworthy_df2,VeryAppealing_df2,Appealing_df2,NeitherAppealing_df2,UnAppealing_df2,VeryUnAppealing_df2,malicious_df2,SensitivityRate_df2,VictimizationRate_df2,FalsePositiveRate_df2,SpecificityRate_df2,url_df2,maliciousness,Findings,Present Cue Types,Website Description,TrustWorthiness Rating,Visual Attractiveness Rating,response,AISensitivityRate_df2,AIVictimizationRate_df2,AIFalsePositiveRate_df2,AISpecificityRate_df2,AISensitivityRate,AIVictimizationRate,AIFalsePositiveRate,AISpecificityRate
0,52837250,52837250,13,3,0,16,11,0,1,0,0,0,3,3,4,2,2,5,6,6,4,0,0,True,0.8125,0.1875,,,https://panoptes-uploads.zooniverse.org/production/subject_location/71bbf5ee-25a0-43f2-898a-69d047958b50.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link Other Phishy Findings,"The webpage is designed to mimic the layout and styling of Wikipedia, but includes cues that suggest it's a phishing attempt, such as a mismatched URL and the Wikipedia interface being used for an inappropriate context.",Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The webpage is designed to mimic the layout and styling of Wikipedia, but includes cues that suggest it's a phishing attempt, such as a mismatched URL and the Wikipedia interface being used for an inappropriate context."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837250,13,3,0,16,11.0,0.0,1.0,0.0,0.0,0.0,3.0,3,4,2,2,5,6,6,4,0,0,True,0.8125,0.1875,,,https://panoptes-uploads.zooniverse.org/production/subject_location/71bbf5ee-25a0-43f2-898a-69d047958b50.jpeg,True,Nothing Phishy Here,[],"The image is a screenshot of the Wikipedia page for 'Art'. It provides a brief overview of the topic, including its definition, history, and different branches. ",Very Trustworthy,Neutral,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image is a screenshot of the Wikipedia page for 'Art'. It provides a brief overview of the topic, including its definition, history, and different branches. 
TrustWorthiness Rating: Very Trustworthy
Visual Attractiveness Rating: Neutral 
",0.0,1.0,,,1.0,1.0,,
1,52837251,52837251,12,3,0,15,10,0,0,2,0,0,1,0,1,0,9,5,0,0,0,6,9,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/eab364eb-3443-433d-aa77-04d6088d5067.jpeg,True,Nothing Phishy Here,,"The image shows a web page with a domain parking message indicating that the website is hosted by GoDaddy and offering domain broker services. The page lists related links, which are presumably to other pages or sites related to internet service providers and broadband.",Neutral,Visually Unattractive or Unappealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image shows a web page with a domain parking message indicating that the website is hosted by GoDaddy and offering domain broker services. The page lists related links, which are presumably to other pages or sites related to internet service providers and broadband."",
  ""TrustWorthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
```",0.0,1.0,,,52837251,12,3,0,15,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0,1,0,9,5,0,0,0,6,9,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/eab364eb-3443-433d-aa77-04d6088d5067.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Greed']","The website has a black background with a light gray box containing a list of internet-related links. The top of the website is green with white text that says ""Interested in medsllne.com? Our Domain Broker Service may be able to get it for you. Find out how"". The links are in white text and have orange arrows next to them. The bottom of the website has a copyright notice and a link to GoDaddy.",Very Untrustworthy,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Appeal to Action - Greed""
 ],
 ""Website Description"": ""The website has a black background with a light gray box containing a list of internet-related links. The top of the website is green with white text that says \""Interested in medsllne.com? Our Domain Broker Service may be able to get it for you. Find out how\"". The links are in white text and have orange arrows next to them. The bottom of the website has a copyright notice and a link to GoDaddy."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,,1.0,1.0,,
2,52837253,52837253,12,3,0,15,8,0,0,0,0,1,4,0,1,4,8,2,0,1,3,6,5,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/04b309f4-0057-40ac-87f3-b513cb6048ee.jpeg,True,Something's Phishy,Invalid Domain or Sender Other Phishy Findings,"The image shows a webpage purporting to be associated with IBM, specifically citing 'IBM Security Access Manager.' The design is minimalistic with few details.",Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The image shows a webpage purporting to be associated with IBM, specifically citing 'IBM Security Access Manager.' The design is minimalistic with few details."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837253,12,3,0,15,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0,1,4,8,2,0,1,3,6,5,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/04b309f4-0057-40ac-87f3-b513cb6048ee.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']",The image is a screenshot of a website that appears to be impersonating an IBM Security Access Manager login page. The URL in the address bar is suspicious and does not point to a legitimate IBM domain.,Very Untrustworthy,Visually Unattractive or Unappealing,"{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link""
  ],
  ""Website Description"": ""The image is a screenshot of a website that appears to be impersonating an IBM Security Access Manager login page. The URL in the address bar is suspicious and does not point to a legitimate IBM domain."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,,2.0,0.0,,
3,52837254,52837254,1,13,1,14,0,0,1,0,0,0,0,2,5,6,1,0,0,3,6,5,0,True,0.071428571,0.9285714285714286,,,https://panoptes-uploads.zooniverse.org/production/subject_location/f9bee106-8713-4e68-9c38-400766b4783c.jpeg,True,Nothing Phishy Here,,"The website appears to be a legitimate content page featuring an article titled '20 Most Famous Progress Quotes & Sayings to Inspire You'. It is structured with a navigation menu at the top, social share buttons on the left, and a content area displaying a quote. The right sidebar contains thumbnails and titles of 'Recent Posts' from various lifestyle-related categories.",Neutral,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a legitimate content page featuring an article titled '20 Most Famous Progress Quotes & Sayings to Inspire You'. It is structured with a navigation menu at the top, social share buttons on the left, and a content area displaying a quote. The right sidebar contains thumbnails and titles of 'Recent Posts' from various lifestyle-related categories."",
  ""Trustworthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",0.0,1.0,,,52837254,1,13,1,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5,6,1,0,0,3,6,5,0,True,0.0714285714285714,0.9285714285714286,,,https://panoptes-uploads.zooniverse.org/production/subject_location/f9bee106-8713-4e68-9c38-400766b4783c.jpeg,True,Nothing Phishy Here,[],"The image shows a screenshot of a website called Soul Health Life. The website appears to be about health and wellness, and the screenshot shows a blog post about famous progress quotes. ",Neutral,Visually Unattractive or Unappealing,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image shows a screenshot of a website called Soul Health Life. The website appears to be about health and wellness, and the screenshot shows a blog post about famous progress quotes. 
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Unattractive or Unappealing
",0.0,1.0,,,0.0,2.0,,
4,52837255,52837255,12,2,1,14,13,0,0,0,2,2,4,3,2,5,3,1,3,3,7,0,1,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/b75dc99c-5fa9-4f23-9eff-2d88150fc1e8.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The image depicts a login page that is designed to resemble the official LinkedIn login page, with fields for email or phone and password, and options such as 'Sign in', 'Remember me', 'Forgot password?' and links to join LinkedIn.",Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image depicts a login page that is designed to resemble the official LinkedIn login page, with fields for email or phone and password, and options such as 'Sign in', 'Remember me', 'Forgot password?' and links to join LinkedIn."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837255,12,2,1,14,13.0,0.0,0.0,0.0,2.0,2.0,4.0,3,2,5,3,1,3,3,7,0,1,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/b75dc99c-5fa9-4f23-9eff-2d88150fc1e8.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']","This webpage appears to be a LinkedIn login page, but upon close inspection, the domain name in the address bar is suspicious. This raises a red flag and indicates that it might be a phishing attempt to steal user credentials.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""This webpage appears to be a LinkedIn login page, but upon close inspection, the domain name in the address bar is suspicious. This raises a red flag and indicates that it might be a phishing attempt to steal user credentials."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}",1.0,0.0,,,2.0,0.0,,
5,52837257,52837257,12,2,1,14,5,0,0,0,0,4,7,0,2,1,7,4,0,2,3,7,2,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d1c2c046-8e21-4f8b-a486-ed710a15f936.jpeg,True,Something's Phishy,Invalid Domain or Sender Other Phishy Findings,The website appears to be a login page requesting an email ID and password for viewing an Adobe PDF document. It features official Adobe branding and a security badge claiming '100% SECURED'. The page seems designed to mimic a legitimate Adobe PDF service.,Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The website appears to be a login page requesting an email ID and password for viewing an Adobe PDF document. It features official Adobe branding and a security badge claiming '100% SECURED'. The page seems designed to mimic a legitimate Adobe PDF service."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837257,12,2,1,14,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0,2,1,7,4,0,2,3,7,2,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d1c2c046-8e21-4f8b-a486-ed710a15f936.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Other Phishy Findings']",The image shows a fake Adobe PDF online document viewer that asks for the user to confirm their identity by signing in with their email address and password. This is a common phishing tactic used to steal credentials.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Other Phishy Findings']
Website Description: The image shows a fake Adobe PDF online document viewer that asks for the user to confirm their identity by signing in with their email address and password. This is a common phishing tactic used to steal credentials.
TrustWorthiness Rating: 'Very Untrustworthy'
Visual Attractiveness Rating: 'Visually Unattractive or Unappealing'
",1.0,0.0,,,2.0,0.0,,
6,52837258,52837258,13,1,1,14,9,0,0,0,1,1,7,0,0,2,6,6,0,2,1,6,5,True,0.9285714285714286,0.071428571,,,https://panoptes-uploads.zooniverse.org/production/subject_location/014b4f11-bf81-47e7-9806-a8a6a972156d.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link Other Phishy Findings,"The website in the image is purporting to be a verification process for AT&T email accounts, in association with Yahoo, by asking for email address and password credentials.",Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The website in the image is purporting to be a verification process for AT&T email accounts, in association with Yahoo, by asking for email address and password credentials."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837258,13,1,1,14,9.0,0.0,0.0,0.0,1.0,1.0,7.0,0,0,2,6,6,0,2,1,6,5,True,0.9285714285714286,0.0714285714285714,,,https://panoptes-uploads.zooniverse.org/production/subject_location/014b4f11-bf81-47e7-9806-a8a6a972156d.jpeg,True,Something's Phishy,"['Potentially Malicious Link', 'Other Phishy Findings']",This appears to be a phishing attempt disguised as an AT&T mailbox verification process. The use of Google Docs forms and the suspicious URL in the address bar are major red flags. Legitimate companies don't usually ask for sensitive information like passwords through such unsecure means.,Very Untrustworthy,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link"",
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""This appears to be a phishing attempt disguised as an AT&T mailbox verification process. The use of Google Docs forms and the suspicious URL in the address bar are major red flags. Legitimate companies don't usually ask for sensitive information like passwords through such unsecure means."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}",1.0,0.0,,,2.0,0.0,,
7,52837259,52837259,7,8,0,15,6,0,0,0,0,1,3,0,7,3,1,4,0,2,10,3,0,True,0.4666666666666667,0.5333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/99f70439-5cf9-4b87-94b1-f01bf7c2d9c4.jpeg,True,Nothing Phishy Here,,"The image appears to be a screenshot of a login page for eBay, displaying options to sign in using an email or username, password or alternative sign-in options with Facebook or Google.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image appears to be a screenshot of a login page for eBay, displaying options to sign in using an email or username, password or alternative sign-in options with Facebook or Google."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",0.0,1.0,,,52837259,7,8,0,15,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0,7,3,1,4,0,2,10,3,0,True,0.4666666666666667,0.5333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/99f70439-5cf9-4b87-94b1-f01bf7c2d9c4.jpeg,True,Nothing Phishy Here,[],This is a screenshot of an Ebay login page. ,Very Trustworthy,Neutral,"{
 ""Findings"": ""Nothing Phishy Here,"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a screenshot of an Ebay login page. "",
 ""TrustWorthiness Rating"": ""Very Trustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",0.0,1.0,,,0.0,2.0,,
8,52837261,52837261,5,9,1,14,4,0,1,0,0,4,2,1,5,5,0,3,1,0,6,6,1,True,0.3571428571428571,0.6428571428571429,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7252342a-19d4-4a17-9e0f-78b802edb4da.jpeg,True,Nothing Phishy Here,,The image displays a message from Google Drive stating that access to an item is denied due to a violation of the Terms of Service. There are links provided to learn more and visit the Google Drive Help Center.,Trustworthy,Neutral,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image displays a message from Google Drive stating that access to an item is denied due to a violation of the Terms of Service. There are links provided to learn more and visit the Google Drive Help Center."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",0.0,1.0,,,52837261,5,9,1,14,4.0,0.0,1.0,0.0,0.0,4.0,2.0,1,5,5,0,3,1,0,6,6,1,True,0.3571428571428571,0.6428571428571429,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7252342a-19d4-4a17-9e0f-78b802edb4da.jpeg,True,Something's Phishy,['Potentially Malicious Link'],The image shows a screenshot of a Google Drive error message. It states that the user cannot access the item because it is in violation of their terms of service.,Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""The image shows a screenshot of a Google Drive error message. It states that the user cannot access the item because it is in violation of their terms of service."",
 ""TrustWorthiness Rating"": ""Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,,1.0,1.0,,
9,52837262,52837262,12,2,1,14,10,0,0,0,0,0,10,0,1,1,7,5,0,1,1,6,6,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/425c7ab5-983b-43cd-8218-3d1c926f24e8.jpeg,True,Something's Phishy,Invalid Domain or Sender Other Phishy Findings,"The image depicts a login interface for what appears to be an email portal. The domain in the URL is generic and seems suspicious as it does not correspond to a well-known email service provider. The design is very basic with minimal branding, which is atypical for legitimate webmail services.",Very Untrustworthy,Visually Unattractive or Unappealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The image depicts a login interface for what appears to be an email portal. The domain in the URL is generic and seems suspicious as it does not correspond to a well-known email service provider. The design is very basic with minimal branding, which is atypical for legitimate webmail services."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
```",1.0,0.0,,,52837262,12,2,1,14,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0,1,1,7,5,0,1,1,6,6,True,0.8571428571428571,0.1428571428571428,,,https://panoptes-uploads.zooniverse.org/production/subject_location/425c7ab5-983b-43cd-8218-3d1c926f24e8.jpeg,True,Something's Phishy,['Invalid Domain or Sender'],"The screenshot is of a webpage claiming to be a webmail portal.  It has two entry fields one for the user to enter email address and one for password. It also has a ""Login"" button below the entry fields and some text mentioning about ""basic interface"". ",Very Untrustworthy,Very Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender""
 ],
 ""Website Description"": ""The screenshot is of a webpage claiming to be a webmail portal.  It has two entry fields one for the user to enter email address and one for password. It also has a \""Login\"" button below the entry fields and some text mentioning about \""basic interface\"". "",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Very Visually Unattractive or Unappealing""
}
",1.0,0.0,,,2.0,0.0,,
