url,subject_id,if_malicious,malicious_guess,Present_Cue_Types_Guess,Website_Description,TrustWorthiness_Rating,Visual_Attractiveness_Rating,Comments
https://panoptes-uploads.zooniverse.org/production/subject_location/550b7a90-4a5f-4869-a408-aa5974029bf5.jpeg,43856939,True,Nothing Phishy Here,,"The website image appears to be a promotional offer from a recognizable company (AT&T), offering a deal for an iPhone when switching service plans. It includes a clear call to action, high-quality images, and a clean, professional design.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/eaf2c946-e1c6-4943-b891-1b68b8ab35a2.jpeg,43856944,True,Nothing Phishy Here,,"The website presents itself as a hub for United States government information and services. The domain seems to be similar to a valid government domain, and the overall design is professional with no blatant spelling or grammar errors. It includes an official logo, a search bar, an official phone number, and clear navigation for various government-related topics and services.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/eb511aaf-b316-4233-9c6d-7555e89ac770.jpeg,43856946,True,Nothing Phishy Here,,"The website appears to be a legitimate page for Centris Federal Credit Union, which is a financial institution. The URL contains 'https' indicating a secure connection, and the domain seems appropriate for a credit union. The site includes typical credit union offerings such as personal and business banking, resources, membership information, and community engagement. The page is designed with a clear call to action, offering a referral bonus promotion.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/16889500-a4f3-4943-a8f3-369040f1e352.jpeg,43856947,True,Nothing Phishy Here,,"The website in the image appears to be well-designed with a clean layout and professional look. It presents a login form for viewing accounts and various navigational options and services typical for a financial institution's website. The imagery and color scheme are consistent with corporate branding, and the site includes features like security information, customer service links, and financial tools.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/1f10ad94-051a-4ab8-b267-68122f56e890.jpeg,43856950,True,Something's Phishy,Invalid Domain or Sender,"The screenshot shows a web page that resembles a sign-up page for GitHub, a known software development platform. However, the URL is suspicious because the legitimate domain for GitHub is github.com, not GitHub.org as shown in the URL bar.",Very Untrustworthy,Moderately Visually Attractive,
https://panoptes-uploads.zooniverse.org/production/subject_location/e9dcad29-fef1-4736-afa7-87bd1a853340.jpeg,43856951,True,Nothing Phishy Here,,"The image appears to show a professional and polished design typical of legitimate retail websites. The branding is consistent with that of Ross Dress for Less, a known discount department store, suggesting that it is likely an official company website or marketing material.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/0312b229-757a-47a3-8e65-e5f745c8b291.jpeg,43856953,True,Nothing Phishy Here,,"The website displayed in the image appears to be a legitimate retail website with categories such as Women, Juniors, Men, Kids, etc. It showcases various holiday-themed decorations and mentions free shipping and returns.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/16b8802a-b05f-433b-93fa-e1278f9e022b.jpeg,43856959,True,Nothing Phishy Here,,"The image appears to be of a well-designed website page for Meetup.com, a platform known for organizing group events. It includes elements such as event listings, a search bar, navigation options, and modern graphical illustrations, which all give the impression of a legitimate and functional site.",Very Trustworthy,Very Visually Attractive or Appealing,
https://panoptes-uploads.zooniverse.org/production/subject_location/238cfe1d-df83-41d5-97da-2b94038c4479.jpeg,43856961,True,Nothing Phishy Here,,"The website appears to be a login page for a social networking service where users can ask questions, either openly or anonymously. The design is clean and modern with a clear call-to-action for users to sign up or log in. Links to the service's mobile applications on the App Store and Google Play are prominently displayed, which is common for mainstream websites. There is a footer with additional links and social media icons, suggesting a developed and likely legitimate operation.",Trustworthy,Visually Attractive,
https://panoptes-uploads.zooniverse.org/production/subject_location/ebb77e86-9423-41d5-a874-60e9df6252f9.jpeg,43856965,True,Something's Phishy,Invalid Domain or Sender,"The website appears to be a professional and well-designed page that emulates a community or service platform for developers. It contains sections such as public Q&A and private Q&A, and it suggests it provides resources for developers and businesses.",Very Untrustworthy,Very Visually Attractive or Appealing,
