url,subject_id,if_malicious,malicious_guess,Present_Cue_Types_Guess,Website_Description,TrustWorthiness_Rating,Visual_Attractiveness_Rating,Comments
https://panoptes-uploads.zooniverse.org/production/subject_location/550b7a90-4a5f-4869-a408-aa5974029bf5.jpeg,43856939,True,Nothing Phishy Here,,"The website appears to be a promotional page for a mobile network carrier, offering a deal on iPhone 11 devices and referencing the network's quality.",Very Trustworthy,Very Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a promotional page for a mobile network carrier, offering a deal on iPhone 11 devices and referencing the network's quality."",
  ""TrustWorthiness Rating"": ""Very Trustworthy"",
  ""Visual Attractiveness Rating"": ""Very Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/eaf2c946-e1c6-4943-b891-1b68b8ab35a2.jpeg,43856944,True,Nothing Phishy Here,,The image appears to show a screenshot of a website that presents itself as an official United States government portal designed to assist users in finding various government-related information and services.,Very Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image appears to show a screenshot of a website that presents itself as an official United States government portal designed to assist users in finding various government-related information and services."",
  ""TrustWorthiness Rating"": ""Very Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/eb511aaf-b316-4233-9c6d-7555e89ac770.jpeg,43856946,True,Nothing Phishy Here,,"The website presented in the image appears to be that of a legitimate financial institution, featuring a promotional offer, options for online banking, and details about the credit union’s mission statement. It has a clean design with a clear navigation menu and professional graphical elements that are common in financial services websites.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website presented in the image appears to be that of a legitimate financial institution, featuring a promotional offer, options for online banking, and details about the credit union’s mission statement. It has a clean design with a clear navigation menu and professional graphical elements that are common in financial services websites."",
  ""Trustworthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/16889500-a4f3-4943-a8f3-369040f1e352.jpeg,43856947,True,Nothing Phishy Here,,"The website appears to be a login page for Wells Fargo, presenting options for banking, credit cards, loans and credit, investing and retirement, wealth management, and rewards and benefits. There's also a section promoting their mobile app and other banking features.",Very Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a login page for Wells Fargo, presenting options for banking, credit cards, loans and credit, investing and retirement, wealth management, and rewards and benefits. There's also a section promoting their mobile app and other banking features."",
  ""TrustWorthiness Rating"": ""Very Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/1f10ad94-051a-4ab8-b267-68122f56e890.jpeg,43856950,True,Something's Phishy,Invalid Domain or Sender,"The image appears to depict a login or sign-up page for GitHub, designed to resemble the authentic GitHub website, with options to input a username, email, and password, accompanied by a button to 'Sign up for GitHub'. The layout mimics a standard registration page, promoting GitHub as a platform for developers.",Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image appears to depict a login or sign-up page for GitHub, designed to resemble the authentic GitHub website, with options to input a username, email, and password, accompanied by a button to 'Sign up for GitHub'. The layout mimics a standard registration page, promoting GitHub as a platform for developers."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/e9dcad29-fef1-4736-afa7-87bd1a853340.jpeg,43856951,True,Nothing Phishy Here,,"The website appears to be a retail page for 'Ross Dress for Less,' showcasing home decor products with an invitation to find a store.",Neutral,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a retail page for 'Ross Dress for Less,' showcasing home decor products with an invitation to find a store."",
  ""TrustWorthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/0312b229-757a-47a3-8e65-e5f745c8b291.jpeg,43856953,True,Nothing Phishy Here,,"The image appears to show a legitimate retail website for Von Maur, displaying a holiday-themed layout with categories like Women, Juniors, Men, Kids, Shoes, Accessories, Beauty, Home & Gifts, and Sale. There is a HTTPS secure website protocol visible in the URL bar, and the domain 'vonmaur.com' seems consistent with the branding of the site.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image appears to show a legitimate retail website for Von Maur, displaying a holiday-themed layout with categories like Women, Juniors, Men, Kids, Shoes, Accessories, Beauty, Home & Gifts, and Sale. There is a HTTPS secure website protocol visible in the URL bar, and the domain 'vonmaur.com' seems consistent with the branding of the site."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/293d2f95-0c0c-4a60-b4f4-082192e4ed90.jpeg,43856955,True,Nothing Phishy Here,,"The website appears to be a legitimate promotional page for mobile carrier services. It features an offer for '4 Lines for $25/line/mo.' when customers switch to this service, as well as advertising '4 Free LG Stylo 5' phones. It includes menu items such as PHONES, PLANS, WHY BOOST, DEALS, SUPPORT, MY BOOST, along with other typical website navigation elements. The website's visual design employs a bright, contrasting color scheme that is consistent with some mobile carrier branding.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a legitimate promotional page for mobile carrier services. It features an offer for '4 Lines for $25/line/mo.' when customers switch to this service, as well as advertising '4 Free LG Stylo 5' phones. It includes menu items such as PHONES, PLANS, WHY BOOST, DEALS, SUPPORT, MY BOOST, along with other typical website navigation elements. The website's visual design employs a bright, contrasting color scheme that is consistent with some mobile carrier branding."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/84813266-8357-4372-89d2-eb5abde14e7b.jpeg,43856957,True,Something's Phishy,Invalid Domain or Sender,"The website presents itself as a sign-up page for Facebook, mimicking the look and layout of the genuine Facebook website.",Very Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The website presents itself as a sign-up page for Facebook, mimicking the look and layout of the genuine Facebook website."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/16b8802a-b05f-433b-93fa-e1278f9e022b.jpeg,43856959,True,Nothing Phishy Here,,"The website appears to be a platform for discovering and signing up for local events, with a focus on community and shared interests. The layout seems user-friendly with clear call-to-action buttons and well-organized event listings.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a platform for discovering and signing up for local events, with a focus on community and shared interests. The layout seems user-friendly with clear call-to-action buttons and well-organized event listings."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
