url,subject_id,if_malicious,malicious_guess,Present_Cue_Types_Guess,Website_Description,TrustWorthiness_Rating,Visual_Attractiveness_Rating,Comments
https://panoptes-uploads.zooniverse.org/production/subject_location/550b7a90-4a5f-4869-a408-aa5974029bf5.jpeg,43856939,True,Nothing Phishy Here,,"The image appears to be of a promotional page of a telecommunications company, advertising an offer on the iPhone 11 for customers who switch to their network, mentioning a credible network performance claim.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image appears to be of a promotional page of a telecommunications company, advertising an offer on the iPhone 11 for customers who switch to their network, mentioning a credible network performance claim."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/eaf2c946-e1c6-4943-b891-1b68b8ab35a2.jpeg,43856944,True,Nothing Phishy Here,,"The website in the image mimics an official US government service portal with various information sections such as unclaimed money, jobs, benefits, forms, and links to services and information on topics like disability, education, and health.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website in the image mimics an official US government service portal with various information sections such as unclaimed money, jobs, benefits, forms, and links to services and information on topics like disability, education, and health."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/eb511aaf-b316-4233-9c6d-7555e89ac770.jpeg,43856946,True,Nothing Phishy Here,,"The website appears to be for 'Centris Federal Credit Union' and includes a banner promoting a referral program, along with a login section for online banking. The layout seems typical of financial institutions, including navigation for personal and business services, rates, and community engagement.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be for 'Centris Federal Credit Union' and includes a banner promoting a referral program, along with a login section for online banking. The layout seems typical of financial institutions, including navigation for personal and business services, rates, and community engagement."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/16889500-a4f3-4943-a8f3-369040f1e352.jpeg,43856947,True,Nothing Phishy Here,,"The website appears to be a banking website with an interface for online banking services, informational content, and navigation for various bank-related services.",Very Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a banking website with an interface for online banking services, informational content, and navigation for various bank-related services."",
  ""TrustWorthiness Rating"": ""Very Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/1f10ad94-051a-4ab8-b267-68122f56e890.jpeg,43856950,True,Something's Phishy,Invalid Domain or Sender,"The image shows a web page resembling the GitHub sign-up and login page with form fields for username, email, and password, and options to sign in or sign up for GitHub.",Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image shows a web page resembling the GitHub sign-up and login page with form fields for username, email, and password, and options to sign in or sign up for GitHub."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/e9dcad29-fef1-4736-afa7-87bd1a853340.jpeg,43856951,True,Nothing Phishy Here,,The website appears to be a retail store page promoting home goods with a call to action to find a store location.,Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a retail store page promoting home goods with a call to action to find a store location."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/0312b229-757a-47a3-8e65-e5f745c8b291.jpeg,43856953,True,Nothing Phishy Here,,"The image appears to be a screenshot of an online retail storefront, likely for a store that sells Christmas decorations and related items. The categories at the top suggest a wide range of available products, such as clothes for women, juniors, men, and kids, as well as shoes, accessories, and home & gifts. It also advertises free shipping and returns, interest-free payments, and has a section for account sign-in and shopping bag.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image appears to be a screenshot of an online retail storefront, likely for a store that sells Christmas decorations and related items. The categories at the top suggest a wide range of available products, such as clothes for women, juniors, men, and kids, as well as shoes, accessories, and home & gifts. It also advertises free shipping and returns, interest-free payments, and has a section for account sign-in and shopping bag."",
  ""TrustWorthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/293d2f95-0c0c-4a60-b4f4-082192e4ed90.jpeg,43856955,True,Nothing Phishy Here,,"The website in the image appears to be a promotional page for a mobile phone carrier, offering phone plans and a special deal on a specific smartphone model.",Neutral,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website in the image appears to be a promotional page for a mobile phone carrier, offering phone plans and a special deal on a specific smartphone model."",
  ""TrustWorthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/84813266-8357-4372-89d2-eb5abde14e7b.jpeg,43856957,True,Something's Phishy,Invalid Domain or Sender,"The website in the image mimics the layout and design of the official Facebook login page, attempting to create a sense of legitimacy.",Very Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The website in the image mimics the layout and design of the official Facebook login page, attempting to create a sense of legitimacy."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
https://panoptes-uploads.zooniverse.org/production/subject_location/16b8802a-b05f-433b-93fa-e1278f9e022b.jpeg,43856959,True,Nothing Phishy Here,,"The image shows a website that appears to be a platform for discovering and signing up for local events. The displayed domain seems legitimate, and the design elements look professional.",Trustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image shows a website that appears to be a platform for discovering and signing up for local events. The displayed domain seems legitimate, and the design elements look professional."",
  ""Trustworthiness Rating"": ""Trustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```"
